text,topic,emotion_pred,emotion_confidence
L'attesa dell'esame dalla sera prima a poco prima di farlo,3,neutral,0.9976
Parlare davanti alle persone/un pubblico,2,neutral,0.9985
"Nel mio caso è una situazione legata all’università. Gli esami orali per me sono molto complicati, non tanto per quel che riguarda lo studio o la preparazione, ma a livello di performance. Sono sopraffatta dall’ansia e faccio fatica a mantenere la calma durante gli esami orali. Questo porta a blocchi, tentennamenti e balbuzie, nonostante mi senta pronta ad affrontare l’esame. So che il giudizio del professore sarà anche basato sul come dirò le cose, non solo sulla correttezza delle cose che dirò, e per una persona come me che ha grandi difficoltà nel parlare in pubblico questa consapevolezza aumenta lo stato di ansia.",4,negative,0.9923
Non capita spesso ma direi davanti alle presentazioni importanti ,2,neutral,0.9783
Quando devo parlare col mio titolare di lavoro per un problema o per una qualsiasi cosa ,1,neutral,0.979
"Nella stesura della tesi magistrale, perché i miei relatori si aspettano molto da me e temo di deluderli. ",2,neutral,0.9724
quando devo proporre una soluzione e noto che le persone non ascoltano per via della giovane età,1,neutral,0.5165
Durante gli esami e durante la discussione di laurea,1,neutral,0.9971
Confronti con i clienti a lavoro finito,3,neutral,0.9978
parlare davanti a gente importante che non conosco,2,neutral,0.9982
"Quando devo esporre qualcosa che ha richiesto dei compromessi per me evidenti per arrivare a compimento; l'ansia sta nella paura di non riuscire a far capire che questi compromessi erano necessari, e che il prodotto è frutto di tutto il ""massimo"" che si poteva raggiungere, e che quindi questi compromessi vengano percepiti (erroneamente) come mancanze.",4,neutral,0.422
"Non credo ci siano situazioni specifiche che fanno scaturire l'ansia, ma piu una preoccupazione futura, di non sapere che quello che fai potrebbe valere o no qualcosa",4,neutral,0.8339
all'università le prove orali,4,neutral,0.9979
Tutte le situazioni in cui si ha solo una occasione senza possibilità di fallire ,2,neutral,0.8731
Tutte le situazioni descritte prima quindi se devo parlare in pubblico o devo dimostrare comunque le mie conoscenze e capacità a qualcuno. P.s. anonimamente vorrei anche dire che soffro di disturbo di ansia da almeno 10 anni e sono in terapia per cercare di migliorare la mia situazione ma comunque l'autorità delle persone e il sentire il loro giudizio su di me mi provoca molta ansia. ,2,neutral,0.9865
"Non ho ansia intesa come paura di fallire quanto di non riuscire a finire quello che sto facendo, soprattutto nello studio/lavoro",1,neutral,0.6116
Interrogazione orale davanti alla classe perchè mi mette in soggezione,1,neutral,0.998
quando ho un interrogazione o devo esporre una presentazione davanti a tutti. viceversa se devo esporre un problema o una soluzione a un collega non ho particolari difficoltà ,2,neutral,0.6512
Essere valutato in un contesto di gruppo senza poter esprimere al meglio le mie capacità.,2,negative,0.9194
"Quando non riesco a fare la qualcosa, e chiedendo ad un superiore scopro che era semplice ",1,positive,0.9748
"onestamente no
",4,neutral,0.944
parlare davanti a tutti ho paura di sbagliare di bloccarmi ,1,negative,0.8223
Presentazioni davanti ad un pubblico ampio e soprattutto se in inglese (non lingua madre),4,neutral,0.993
Poco prima di un esame o poco prima di dover parlare in pubblico.,2,neutral,0.9977
Quando devo affrontare un esame o una prestazione e non sono preparato,1,negative,0.534
Quando sono sotto l' attenzione di un pubblico ,2,neutral,0.9961
Quando molto dipende da me penso che potrei non farcela e mi viene ansia,2,negative,0.9834
ESPORRE IN INGLESE,4,neutral,0.9954
"Quando qualcuno mi guarda. Scuola, Lavoro, Amore, Parcheggiando",1,positive,0.6023
"Quando c'é una consegna in un breve periodo, quando devo presentare davanti alla classe/pubblico e prima di un esame",2,neutral,0.9961
Quando procrastino (nel caso dello studio) e poi non do il massimo alla prova,2,neutral,0.8375
Quando devo fare validare una soluzione ad un mio superiore,3,neutral,0.9925
Quando il risultato della prova influisce sulla mia indipendenza/libertà (Es. esame patente),1,neutral,0.9963
"Provo ansia da prestazione nello studio, in particolare durante le presentazioni, poiché l’italiano non è la mia lingua madre e questo aumenta il mio stress.",4,negative,0.9924
Situazioni nuove,3,neutral,0.9924
Quando devo affrontare progrtti nuovi e devo conoscere e imparare da zero tutti gli aspetti,1,neutral,0.9867
Durante un esame o quando mi viene affidata una task complessa.,1,neutral,0.9967
"L'ansia sta condizionando la mia vita ormai, gradualmente sta diventando sempre più presente e invasiva nella mia vita. Paura di sbagliare, paura di stare male, ipocondria, tutto ciò perché do sempre il massimo e non riesco a dosarmi. Vorrei essere più egoista e fortemene di tutti come tutti fanno con me.",4,negative,0.965
"2 situazioni: quando so che la reazione dell'altra persona (es: un superiore) ad un errore potrebbe essere emotiva o comunque ""aggressiva"". in misura minore quando ancora non conosco gli effetti avuti da una mia azione errata. ",3,neutral,0.7921
I colloqui lavorativi in cui devi dimostrare di avere le capacità richieste,4,neutral,0.9929
"Non c'è una situazione specifica, di solito riesco a gestire bene lo stress",4,positive,0.6469
durante un esame universitario,4,neutral,0.9987
"Una situazione in cui sento maggiormente l'ansia da prestazione è quando devo presentare un progetto di ricerca di fronte ai miei professori e ai miei compagni. Ho paura di non riuscire a spiegare bene le mie idee e di essere giudicato, il che aumenta la mia ansia.

Ah e a proposito, se stai ancora cercando partecipanti, surveyswap.io mi ha aiutato molto quando ho fatto il mio sondaggio l'anno scorso. Compili sondaggi di altri e ottieni partecipanti gratis in cambio. Forse può essere utile anche a te. Comunque, in bocca al lupo per lo studio!",3,negative,0.9698
"Prima degli esami ho tanta ansia e sintomi come mal di pancia, forte battito cardiaco, sudorazione, attivazione generale",2,neutral,0.588
Prima di un esame o di un'esposizione,3,neutral,0.9964
Esami orali o presentazioni,4,neutral,0.9965
Parlare di fronte a un pubblico,2,neutral,0.9984
Spiegare una cosa che non ho compreso a pieno,1,neutral,0.9365
Parlare in pubblico,2,neutral,0.9972
Situazioni in cui espongo in pubblico,2,neutral,0.9987
quando mi chiedono di portare a termine qualcosa con una scadenza vicina,4,neutral,0.9981
Quando devo restituire un compito assegnato,4,neutral,0.992
Durante un esame universitario orale,4,neutral,0.9984
"Quando inizi un nuovo posto di lavoro, non sai quasi nulla del contesto, ma i tuoi colleghi si aspettano che tu faccia 90/95% del lavoro che ti viene assegnato in modo corretto, senza errori.",2,positive,0.8988
