text,text_clean,sentiment_pred,sentiment_proba,sentiment_label
"Nel mio caso è una situazione legata all’università. Gli esami orali per me sono molto complicati, non tanto per quel che riguarda lo studio o la preparazione, ma a livello di performance. Sono sopraffatta dall’ansia e faccio fatica a mantenere la calma durante gli esami orali. Questo porta a blocchi, tentennamenti e balbuzie, nonostante mi senta pronta ad affrontare l’esame. So che il giudizio del professore sarà anche basato sul come dirò le cose, non solo sulla correttezza delle cose che dirò, e per una persona come me che ha grandi difficoltà nel parlare in pubblico questa consapevolezza aumenta lo stato di ansia.",nel mio caso una situazione legata alluniversit gli esami orali per me sono molto complicati non tanto per quel che riguarda lo studio o la preparazione ma a livello di performance sono sopraffatta dallansia e faccio fatica a mantenere la calma durante gli esami orali questo porta a blocchi tentennamenti e balbuzie nonostante mi senta pronta ad affrontare lesame so che il giudizio del professore sar anche basato sul come dir le cose non solo sulla correttezza delle cose che dir e per una persona come me che ha grandi difficolt nel parlare in pubblico questa consapevolezza aumenta lo stato di ansia,0,0.08473492,Negativo
Non capita spesso ma direi davanti alle presentazioni importanti ,non capita spesso ma direi davanti alle presentazioni importanti,0,0.0625777,Negativo
Quando devo parlare col mio titolare di lavoro per un problema o per una qualsiasi cosa ,quando devo parlare col mio titolare di lavoro per un problema o per una qualsiasi cosa,0,0.06257773,Negativo
"Nella stesura della tesi magistrale, perché i miei relatori si aspettano molto da me e temo di deluderli. ",nella stesura della tesi magistrale perch i miei relatori si aspettano molto da me e temo di deluderli,0,0.06257774,Negativo
quando devo proporre una soluzione e noto che le persone non ascoltano per via della giovane età,quando devo proporre una soluzione e noto che le persone non ascoltano per via della giovane et,0,0.06257773,Negativo
Durante gli esami e durante la discussione di laurea,durante gli esami e durante la discussione di laurea,0,0.06257773,Negativo
Confronti con i clienti a lavoro finito,confronti con i clienti a lavoro finito,0,0.0625777,Negativo
parlare davanti a gente importante che non conosco,parlare davanti a gente importante che non conosco,0,0.06257773,Negativo
"Quando devo esporre qualcosa che ha richiesto dei compromessi per me evidenti per arrivare a compimento; l'ansia sta nella paura di non riuscire a far capire che questi compromessi erano necessari, e che il prodotto è frutto di tutto il ""massimo"" che si poteva raggiungere, e che quindi questi compromessi vengano percepiti (erroneamente) come mancanze.",quando devo esporre qualcosa che ha richiesto dei compromessi per me evidenti per arrivare a compimento lansia sta nella paura di non riuscire a far capire che questi compromessi erano necessari e che il prodotto frutto di tutto il massimo che si poteva raggiungere e che quindi questi compromessi vengano percepiti erroneamente come mancanze,0,0.06257981,Negativo
"Non credo ci siano situazioni specifiche che fanno scaturire l'ansia, ma piu una preoccupazione futura, di non sapere che quello che fai potrebbe valere o no qualcosa",non credo ci siano situazioni specifiche che fanno scaturire lansia ma piu una preoccupazione futura di non sapere che quello che fai potrebbe valere o no qualcosa,0,0.06257775,Negativo
all'università le prove orali,alluniversit le prove orali,0,0.06257773,Negativo
Tutte le situazioni in cui si ha solo una occasione senza possibilità di fallire ,tutte le situazioni in cui si ha solo una occasione senza possibilit di fallire,0,0.06257773,Negativo
Tutte le situazioni descritte prima quindi se devo parlare in pubblico o devo dimostrare comunque le mie conoscenze e capacità a qualcuno. P.s. anonimamente vorrei anche dire che soffro di disturbo di ansia da almeno 10 anni e sono in terapia per cercare di migliorare la mia situazione ma comunque l'autorità delle persone e il sentire il loro giudizio su di me mi provoca molta ansia. ,tutte le situazioni descritte prima quindi se devo parlare in pubblico o devo dimostrare comunque le mie conoscenze e capacit a qualcuno ps anonimamente vorrei anche dire che soffro di disturbo di ansia da almeno 10 anni e sono in terapia per cercare di migliorare la mia situazione ma comunque lautorit delle persone e il sentire il loro giudizio su di me mi provoca molta ansia,0,0.06259454,Negativo
"Non ho ansia intesa come paura di fallire quanto di non riuscire a finire quello che sto facendo, soprattutto nello studio/lavoro",non ho ansia intesa come paura di fallire quanto di non riuscire a finire quello che sto facendo soprattutto nello studiolavoro,0,0.06257773,Negativo
Interrogazione orale davanti alla classe perchè mi mette in soggezione,interrogazione orale davanti alla classe perch mi mette in soggezione,0,0.06257772,Negativo
quando ho un interrogazione o devo esporre una presentazione davanti a tutti. viceversa se devo esporre un problema o una soluzione a un collega non ho particolari difficoltà ,quando ho un interrogazione o devo esporre una presentazione davanti a tutti viceversa se devo esporre un problema o una soluzione a un collega non ho particolari difficolt,0,0.06257776,Negativo
Essere valutato in un contesto di gruppo senza poter esprimere al meglio le mie capacità.,essere valutato in un contesto di gruppo senza poter esprimere al meglio le mie capacit,0,0.06257774,Negativo
"Quando non riesco a fare la qualcosa, e chiedendo ad un superiore scopro che era semplice ",quando non riesco a fare la qualcosa e chiedendo ad un superiore scopro che era semplice,0,0.06257773,Negativo
"onestamente no
",onestamente no,0,0.06257773,Negativo
parlare davanti a tutti ho paura di sbagliare di bloccarmi ,parlare davanti a tutti ho paura di sbagliare di bloccarmi,0,0.06257772,Negativo
Presentazioni davanti ad un pubblico ampio e soprattutto se in inglese (non lingua madre),presentazioni davanti ad un pubblico ampio e soprattutto se in inglese non lingua madre,0,0.06257773,Negativo
Poco prima di un esame o poco prima di dover parlare in pubblico.,poco prima di un esame o poco prima di dover parlare in pubblico,0,0.06257773,Negativo
Quando devo affrontare un esame o una prestazione e non sono preparato,quando devo affrontare un esame o una prestazione e non sono preparato,0,0.06257773,Negativo
Quando sono sotto l' attenzione di un pubblico ,quando sono sotto l attenzione di un pubblico,0,0.06257773,Negativo
Quando molto dipende da me penso che potrei non farcela e mi viene ansia,quando molto dipende da me penso che potrei non farcela e mi viene ansia,0,0.06257773,Negativo
ESPORRE IN INGLESE,esporre in inglese,0,0.06257773,Negativo
"Quando qualcuno mi guarda. Scuola, Lavoro, Amore, Parcheggiando",quando qualcuno mi guarda scuola lavoro amore parcheggiando,0,0.0625777,Negativo
"Quando c'é una consegna in un breve periodo, quando devo presentare davanti alla classe/pubblico e prima di un esame",quando c una consegna in un breve periodo quando devo presentare davanti alla classepubblico e prima di un esame,0,0.06257774,Negativo
Quando procrastino (nel caso dello studio) e poi non do il massimo alla prova,quando procrastino nel caso dello studio e poi non do il massimo alla prova,0,0.06257773,Negativo
Quando devo fare validare una soluzione ad un mio superiore,quando devo fare validare una soluzione ad un mio superiore,0,0.0625777,Negativo
Quando il risultato della prova influisce sulla mia indipendenza/libertà (Es. esame patente),quando il risultato della prova influisce sulla mia indipendenzalibert es esame patente,0,0.06257773,Negativo
"Provo ansia da prestazione nello studio, in particolare durante le presentazioni, poiché l’italiano non è la mia lingua madre e questo aumenta il mio stress.",provo ansia da prestazione nello studio in particolare durante le presentazioni poich litaliano non la mia lingua madre e questo aumenta il mio stress,0,0.06257776,Negativo
Situazioni nuove,situazioni nuove,0,0.06257773,Negativo
Quando devo affrontare progrtti nuovi e devo conoscere e imparare da zero tutti gli aspetti,quando devo affrontare progrtti nuovi e devo conoscere e imparare da zero tutti gli aspetti,0,0.06257774,Negativo
Durante un esame o quando mi viene affidata una task complessa.,durante un esame o quando mi viene affidata una task complessa,0,0.06257773,Negativo
"L'ansia sta condizionando la mia vita ormai, gradualmente sta diventando sempre più presente e invasiva nella mia vita. Paura di sbagliare, paura di stare male, ipocondria, tutto ciò perché do sempre il massimo e non riesco a dosarmi. Vorrei essere più egoista e fortemene di tutti come tutti fanno con me.",lansia sta condizionando la mia vita ormai gradualmente sta diventando sempre pi presente e invasiva nella mia vita paura di sbagliare paura di stare male ipocondria tutto ci perch do sempre il massimo e non riesco a dosarmi vorrei essere pi egoista e fortemene di tutti come tutti fanno con me,0,0.06257904,Negativo
"2 situazioni: quando so che la reazione dell'altra persona (es: un superiore) ad un errore potrebbe essere emotiva o comunque ""aggressiva"". in misura minore quando ancora non conosco gli effetti avuti da una mia azione errata. ",2 situazioni quando so che la reazione dellaltra persona es un superiore ad un errore potrebbe essere emotiva o comunque aggressiva in misura minore quando ancora non conosco gli effetti avuti da una mia azione errata,0,0.06257788,Negativo
I colloqui lavorativi in cui devi dimostrare di avere le capacità richieste,i colloqui lavorativi in cui devi dimostrare di avere le capacit richieste,0,0.06257773,Negativo
"Non c'è una situazione specifica, di solito riesco a gestire bene lo stress",non c una situazione specifica di solito riesco a gestire bene lo stress,0,0.06257773,Negativo
durante un esame universitario,durante un esame universitario,0,0.06257773,Negativo
"Una situazione in cui sento maggiormente l'ansia da prestazione è quando devo presentare un progetto di ricerca di fronte ai miei professori e ai miei compagni. Ho paura di non riuscire a spiegare bene le mie idee e di essere giudicato, il che aumenta la mia ansia.

Ah e a proposito, se stai ancora cercando partecipanti, surveyswap.io mi ha aiutato molto quando ho fatto il mio sondaggio l'anno scorso. Compili sondaggi di altri e ottieni partecipanti gratis in cambio. Forse può essere utile anche a te. Comunque, in bocca al lupo per lo studio!",una situazione in cui sento maggiormente lansia da prestazione quando devo presentare un progetto di ricerca di fronte ai miei professori e ai miei compagni ho paura di non riuscire a spiegare bene le mie idee e di essere giudicato il che aumenta la mia ansia ah e a proposito se stai ancora cercando partecipanti surveyswapio mi ha aiutato molto quando ho fatto il mio sondaggio lanno scorso compili sondaggi di altri e ottieni partecipanti gratis in cambio forse pu essere utile anche a te comunque in bocca al lupo per lo studio,0,0.065853424,Negativo
"Prima degli esami ho tanta ansia e sintomi come mal di pancia, forte battito cardiaco, sudorazione, attivazione generale",prima degli esami ho tanta ansia e sintomi come mal di pancia forte battito cardiaco sudorazione attivazione generale,0,0.06257774,Negativo
Prima di un esame o di un'esposizione,prima di un esame o di unesposizione,0,0.06257773,Negativo
Esami orali o presentazioni,esami orali o presentazioni,0,0.06257773,Negativo
Parlare di fronte a un pubblico,parlare di fronte a un pubblico,0,0.06257773,Negativo
Spiegare una cosa che non ho compreso a pieno,spiegare una cosa che non ho compreso a pieno,0,0.06257773,Negativo
Parlare in pubblico,parlare in pubblico,0,0.06257773,Negativo
Situazioni in cui espongo in pubblico,situazioni in cui espongo in pubblico,0,0.0625777,Negativo
quando mi chiedono di portare a termine qualcosa con una scadenza vicina,quando mi chiedono di portare a termine qualcosa con una scadenza vicina,0,0.06257773,Negativo
Quando devo restituire un compito assegnato,quando devo restituire un compito assegnato,0,0.06257773,Negativo
Durante un esame universitario orale,durante un esame universitario orale,0,0.06257773,Negativo
"Quando inizi un nuovo posto di lavoro, non sai quasi nulla del contesto, ma i tuoi colleghi si aspettano che tu faccia 90/95% del lavoro che ti viene assegnato in modo corretto, senza errori.",quando inizi un nuovo posto di lavoro non sai quasi nulla del contesto ma i tuoi colleghi si aspettano che tu faccia 9095 del lavoro che ti viene assegnato in modo corretto senza errori,0,0.06257785,Negativo
