text,text_clean,topic,topic_confidence,p_topic1,p_topic2,p_topic3,p_topic4
Quando mi capita di confontarsi per un consiglio medico sul mio lavoro con i colleghi,quando mi capita di confontarsi per un consiglio medico sul mio lavoro con i colleghi,2,0.9680837237693659,0.01063940746949844,0.9680837237693659,0.010638467228936663,0.010638401532199191
Quando ho un'interrogazione o devo svolgere un compito nuovo ho l'ansia di sbagliare e dimenticarmi tutto.,quando ho uninterrogazione o devo svolgere un compito nuovo ho lansia di sbagliare e dimenticarmi tutto,3,0.9594570642351397,0.013514306566578002,0.013513740397066957,0.9594570642351397,0.013514888801215513
"Prima di qualsiasi situazione in cui ci siano diverse persone a guardarmi e, in generale, dove sono io il ""protagonista"" della situazione mi ritrovo a fare mille pensieri su cosa potrebbe andare male e che andrà tutto per il peggio. Comincia a mancarmi il respiro e ho i battiti accelerati. Cerco di fare respiri profondi e calmarmi ma non sempre è efficace.",prima di qualsiasi situazione in cui ci siano diverse persone a guardarmi e in generale dove sono io il protagonista della situazione mi ritrovo a fare mille pensieri su cosa potrebbe andare male e che andrà tutto per il peggio comincia a mancarmi il respiro e ho i battiti accelerati cerco di fare respiri profondi e calmarmi ma non sempre è efficace,2,0.9901306666937897,0.003289887188099895,0.9901306666937897,0.0032896527438687605,0.003289793374241643
Ansia da esame e rapporto con docenti e colleghi,ansia da esame e rapporto con docenti e colleghi,2,0.9531193916329043,0.01562742911213234,0.9531193916329043,0.015627092198491108,0.015626087056472324
Lavorare in contesti che non conosco per nulla. Aver paura del nuovo e della novità. ,lavorare in contesti che non conosco per nulla aver paura del nuovo e della novità,3,0.9642841821691398,0.011905131072718896,0.011905338998238618,0.9642841821691398,0.011905347759902705
esame orale: dal giorno precedente fino a pochi minuti dall'inizio. ,esame orale dal giorno precedente fino a pochi minuti dallinizio,3,0.9642827219378961,0.011906585921080773,0.011904989984719193,0.9642827219378961,0.011905702156304102
(forse importante per il sondaggio: soffro di disturbo d'ansia generalizzato) Sento maggiormente ansia durante gli esami e lungo tutta la loro preparazione; nel momento in cui devo confrontarmi con superiori con i quali non ho confidenza/ che non conosco.,forse importante per il sondaggio soffro di disturbo dansia generalizzato sento maggiormente ansia durante gli esami e lungo tutta la loro preparazione nel momento in cui devo confrontarmi con superiori con i quali non ho confidenza che non conosco,2,0.9897951408735705,0.0034016523818204292,0.9897951408735705,0.003401653481999666,0.0034015532626094297
L'attesa dell'esame dalla sera prima a poco prima di farlo,lattesa dellesame dalla sera prima a poco prima di farlo,3,0.9444417785108777,0.01851851851851924,0.01852118445208392,0.9444417785108777,0.01851851851851924
Parlare davanti alle persone/un pubblico,parlare davanti alle personeun pubblico,2,0.7365780432713608,0.018522369950668614,0.7365780432713608,0.018518518518520925,0.22638106825944967
"Nel mio caso è una situazione legata all’università. Gli esami orali per me sono molto complicati, non tanto per quel che riguarda lo studio o la preparazione, ma a livello di performance. Sono sopraffatta dall’ansia e faccio fatica a mantenere la calma durante gli esami orali. Questo porta a blocchi, tentennamenti e balbuzie, nonostante mi senta pronta ad affrontare l’esame. So che il giudizio del professore sarà anche basato sul come dirò le cose, non solo sulla correttezza delle cose che dirò, e per una persona come me che ha grandi difficoltà nel parlare in pubblico questa consapevolezza aumenta lo stato di ansia.",nel mio caso è una situazione legata alluniversità gli esami orali per me sono molto complicati non tanto per quel che riguarda lo studio o la preparazione ma a livello di performance sono sopraffatta dallansia e faccio fatica a mantenere la calma durante gli esami orali questo porta a blocchi tentennamenti e balbuzie nonostante mi senta pronta ad affrontare lesame so che il giudizio del professore sarà anche basato sul come dirò le cose non solo sulla correttezza delle cose che dirò e per una persona come me che ha grandi difficoltà nel parlare in pubblico questa consapevolezza aumenta lo stato di ansia,4,0.9948624213753989,0.0017125246007960579,0.0017126370547760068,0.0017124169690290038,0.9948624213753989
Non capita spesso ma direi davanti alle presentazioni importanti ,non capita spesso ma direi davanti alle presentazioni importanti,2,0.9680821519629211,0.010638571437980903,0.9680821519629211,0.010638297872341445,0.01064097872675637
Quando devo parlare col mio titolare di lavoro per un problema o per una qualsiasi cosa ,quando devo parlare col mio titolare di lavoro per un problema o per una qualsiasi cosa,1,0.944440712492136,0.944440712492136,0.018521698696381463,0.01851872543193101,0.01851886337955137
"Nella stesura della tesi magistrale, perché i miei relatori si aspettano molto da me e temo di deluderli. ",nella stesura della tesi magistrale perché i miei relatori si aspettano molto da me e temo di deluderli,2,0.9318064787105074,0.02272727272727488,0.9318064787105074,0.022736638083941045,0.022729610478276638
quando devo proporre una soluzione e noto che le persone non ascoltano per via della giovane età,quando devo proporre una soluzione e noto che le persone non ascoltano per via della giovane età,1,0.9594585344734113,0.9594585344734113,0.013513971660029479,0.01351398035304524,0.013513513513514049
Durante gli esami e durante la discussione di laurea,durante gli esami e durante la discussione di laurea,1,0.9642841219704382,0.9642841219704382,0.011905475892052956,0.011904761904762232,0.011905640232746734
Confronti con i clienti a lavoro finito,confronti con i clienti a lavoro finito,3,0.9531165539357065,0.015631139760021995,0.015626799223466555,0.9531165539357065,0.015625507080805002
parlare davanti a gente importante che non conosco,parlare davanti a gente importante che non conosco,2,0.9680833398837636,0.010639214343376079,0.9680833398837636,0.010639047967211736,0.010638397805648517
"Quando devo esporre qualcosa che ha richiesto dei compromessi per me evidenti per arrivare a compimento; l'ansia sta nella paura di non riuscire a far capire che questi compromessi erano necessari, e che il prodotto è frutto di tutto il ""massimo"" che si poteva raggiungere, e che quindi questi compromessi vengano percepiti (erroneamente) come mancanze.",quando devo esporre qualcosa che ha richiesto dei compromessi per me evidenti per arrivare a compimento lansia sta nella paura di non riuscire a far capire che questi compromessi erano necessari e che il prodotto è frutto di tutto il massimo che si poteva raggiungere e che quindi questi compromessi vengano percepiti erroneamente come mancanze,4,0.9910176177056083,0.002994118626574821,0.0029940738711250075,0.0029941897966918756,0.9910176177056083
"Non credo ci siano situazioni specifiche che fanno scaturire l'ansia, ma piu una preoccupazione futura, di non sapere che quello che fai potrebbe valere o no qualcosa",non credo ci siano situazioni specifiche che fanno scaturire lansia ma piu una preoccupazione futura di non sapere che quello che fai potrebbe valere o no qualcosa,4,0.9776090708472939,0.0074627712517911496,0.007463658341807275,0.007464499559107672,0.9776090708472939
all'università le prove orali,alluniversità le prove orali,4,0.874999999999997,0.0416666666666677,0.0416666666666677,0.0416666666666677,0.874999999999997
Tutte le situazioni in cui si ha solo una occasione senza possibilità di fallire ,tutte le situazioni in cui si ha solo una occasione senza possibilità di fallire,2,0.959454579871477,0.013515132318120732,0.959454579871477,0.01351572414473986,0.013514563665662383
Tutte le situazioni descritte prima quindi se devo parlare in pubblico o devo dimostrare comunque le mie conoscenze e capacità a qualcuno. P.s. anonimamente vorrei anche dire che soffro di disturbo di ansia da almeno 10 anni e sono in terapia per cercare di migliorare la mia situazione ma comunque l'autorità delle persone e il sentire il loro giudizio su di me mi provoca molta ansia. ,tutte le situazioni descritte prima quindi se devo parlare in pubblico o devo dimostrare comunque le mie conoscenze e capacità a qualcuno ps anonimamente vorrei anche dire che soffro di disturbo di ansia da almeno 10 anni e sono in terapia per cercare di migliorare la mia situazione ma comunque lautorità delle persone e il sentire il loro giudizio su di me mi provoca molta ansia,2,0.991524871820964,0.0028250188632696362,0.991524871820964,0.0028250464868273574,0.002825062828938916
"Non ho ansia intesa come paura di fallire quanto di non riuscire a finire quello che sto facendo, soprattutto nello studio/lavoro",non ho ansia intesa come paura di fallire quanto di non riuscire a finire quello che sto facendo soprattutto nello studiolavoro,1,0.9758040148545004,0.9758040148545004,0.008065371861862722,0.008065311813792055,0.008065301469844915
Interrogazione orale davanti alla classe perchè mi mette in soggezione,interrogazione orale davanti alla classe perchè mi mette in soggezione,1,0.9594570668078776,0.9594570668078776,0.013514559941719117,0.01351397993072925,0.013514393319674092
quando ho un interrogazione o devo esporre una presentazione davanti a tutti. viceversa se devo esporre un problema o una soluzione a un collega non ho particolari difficoltà ,quando ho un interrogazione o devo esporre una presentazione davanti a tutti viceversa se devo esporre un problema o una soluzione a un collega non ho particolari difficoltà,2,0.9805175417516505,0.006494662182958301,0.9805175417516505,0.006493776172850427,0.006494019892540754
Essere valutato in un contesto di gruppo senza poter esprimere al meglio le mie capacità.,essere valutato in un contesto di gruppo senza poter esprimere al meglio le mie capacità,2,0.9736840269507062,0.00877192982456216,0.9736840269507062,0.00877192982456216,0.008772113400169507
"Quando non riesco a fare la qualcosa, e chiedendo ad un superiore scopro che era semplice ",quando non riesco a fare la qualcosa e chiedendo ad un superiore scopro che era semplice,1,0.9594551432859731,0.9594551432859731,0.013514357936797138,0.013514770416421004,0.013515728360808733
"onestamente no
",onestamente no,4,0.785714285714278,0.07142857142857398,0.07142857142857398,0.07142857142857398,0.785714285714278
parlare davanti a tutti ho paura di sbagliare di bloccarmi ,parlare davanti a tutti ho paura di sbagliare di bloccarmi,1,0.9594545077384364,0.9594545077384364,0.013515967154743761,0.013514747908618273,0.013514777198201555
Presentazioni davanti ad un pubblico ampio e soprattutto se in inglese (non lingua madre),presentazioni davanti ad un pubblico ampio e soprattutto se in inglese non lingua madre,4,0.9711483084228968,0.009617652376420583,0.009618654585297495,0.009615384615385152,0.9711483084228968
Poco prima di un esame o poco prima di dover parlare in pubblico.,poco prima di un esame o poco prima di dover parlare in pubblico,2,0.9711509938968865,0.009616398469335822,0.9711509938968865,0.009616780482755898,0.009615827151021807
Quando devo affrontare un esame o una prestazione e non sono preparato,quando devo affrontare un esame o una prestazione e non sono preparato,1,0.944440693876894,0.944440693876894,0.018518967577836495,0.01852070961239883,0.018519628932870662
Quando sono sotto l' attenzione di un pubblico ,quando sono sotto l attenzione di un pubblico,2,0.7857040831279453,0.07142857142857217,0.7857040831279453,0.07142857142857217,0.07143877401491017
Quando molto dipende da me penso che potrei non farcela e mi viene ansia,quando molto dipende da me penso che potrei non farcela e mi viene ansia,2,0.9531230355909437,0.015626107275729023,0.9531230355909437,0.01562539924330414,0.015625457890023085
ESPORRE IN INGLESE,esporre in inglese,4,0.9117619119732334,0.029411764705883917,0.029414558614998726,0.029411764705883917,0.9117619119732334
"Quando qualcuno mi guarda. Scuola, Lavoro, Amore, Parcheggiando",quando qualcuno mi guarda scuola lavoro amore parcheggiando,1,0.9318162213580229,0.9318162213580229,0.02272871071102364,0.02272759682718817,0.022727471103765256
"Quando c'é una consegna in un breve periodo, quando devo presentare davanti alla classe/pubblico e prima di un esame",quando cé una consegna in un breve periodo quando devo presentare davanti alla classepubblico e prima di un esame,2,0.9791654461733241,0.006944961349438593,0.9791654461733241,0.006945012196743875,0.006944580280493281
Quando procrastino (nel caso dello studio) e poi non do il massimo alla prova,quando procrastino nel caso dello studio e poi non do il massimo alla prova,2,0.9594494235618671,0.013515132285270107,0.9594494235618671,0.013515763650658296,0.013519680502204564
Quando devo fare validare una soluzione ad un mio superiore,quando devo fare validare una soluzione ad un mio superiore,3,0.9318138659399444,0.022730671383692634,0.02272818994908912,0.9318138659399444,0.022727272727273803
Quando il risultato della prova influisce sulla mia indipendenza/libertà (Es. esame patente),quando il risultato della prova influisce sulla mia indipendenzalibertà es esame patente,1,0.9680841263334476,0.9680841263334476,0.010638574472492541,0.010638896427540968,0.010638402766518819
"Provo ansia da prestazione nello studio, in particolare durante le presentazioni, poiché l’italiano non è la mia lingua madre e questo aumenta il mio stress.",provo ansia da prestazione nello studio in particolare durante le presentazioni poiché litaliano non è la mia lingua madre e questo aumenta il mio stress,4,0.9758039802675197,0.00806552703965886,0.008065261957144335,0.008065230735677139,0.9758039802675197
Situazioni nuove,situazioni nuove,3,0.7856938377121286,0.07142857142857238,0.0714445322038537,0.7856938377121286,0.07143305865544523
Quando devo affrontare progrtti nuovi e devo conoscere e imparare da zero tutti gli aspetti,quando devo affrontare progrtti nuovi e devo conoscere e imparare da zero tutti gli aspetti,1,0.9531245766242461,0.9531245766242461,0.015625000000000607,0.015625274950118367,0.015625148425635012
Durante un esame o quando mi viene affidata una task complessa.,durante un esame o quando mi viene affidata una task complessa,1,0.9680834725767059,0.9680834725767059,0.010638907332334295,0.010638579741609587,0.010639040349350246
"L'ansia sta condizionando la mia vita ormai, gradualmente sta diventando sempre più presente e invasiva nella mia vita. Paura di sbagliare, paura di stare male, ipocondria, tutto ciò perché do sempre il massimo e non riesco a dosarmi. Vorrei essere più egoista e fortemene di tutti come tutti fanno con me.",lansia sta condizionando la mia vita ormai gradualmente sta diventando sempre più presente e invasiva nella mia vita paura di sbagliare paura di stare male ipocondria tutto ciò perché do sempre il massimo e non riesco a dosarmi vorrei essere più egoista e fortemene di tutti come tutti fanno con me,4,0.9921870873590509,0.002604324681909619,0.0026042715042788192,0.002604316454760608,0.9921870873590509
"2 situazioni: quando so che la reazione dell'altra persona (es: un superiore) ad un errore potrebbe essere emotiva o comunque ""aggressiva"". in misura minore quando ancora non conosco gli effetti avuti da una mia azione errata. ",2 situazioni quando so che la reazione dellaltra persona es un superiore ad un errore potrebbe essere emotiva o comunque aggressiva in misura minore quando ancora non conosco gli effetti avuti da una mia azione errata,3,0.9871790891490048,0.004273604775302561,0.004273690818737874,0.9871790891490048,0.004273615256954946
I colloqui lavorativi in cui devi dimostrare di avere le capacità richieste,i colloqui lavorativi in cui devi dimostrare di avere le capacità richieste,4,0.9642792964143356,0.011904761904763006,0.011908533114193392,0.011907408566708,0.9642792964143356
"Non c'è una situazione specifica, di solito riesco a gestire bene lo stress",non cè una situazione specifica di solito riesco a gestire bene lo stress,4,0.9642833531513851,0.011905130141353665,0.011905994308802901,0.01190552239845831,0.9642833531513851
durante un esame universitario,durante un esame universitario,4,0.9444297250849616,0.018527760325198164,0.018520780900890245,0.018521733688949972,0.9444297250849616
"Una situazione in cui sento maggiormente l'ansia da prestazione è quando devo presentare un progetto di ricerca di fronte ai miei professori e ai miei compagni. Ho paura di non riuscire a spiegare bene le mie idee e di essere giudicato, il che aumenta la mia ansia.

Ah e a proposito, se stai ancora cercando partecipanti, surveyswap.io mi ha aiutato molto quando ho fatto il mio sondaggio l'anno scorso. Compili sondaggi di altri e ottieni partecipanti gratis in cambio. Forse può essere utile anche a te. Comunque, in bocca al lupo per lo studio!",una situazione in cui sento maggiormente lansia da prestazione è quando devo presentare un progetto di ricerca di fronte ai miei professori e ai miei compagni ho paura di non riuscire a spiegare bene le mie idee e di essere giudicato il che aumenta la mia ansia ah e a proposito se stai ancora cercando partecipanti surveyswapio mi ha aiutato molto quando ho fatto il mio sondaggio lanno scorso compili sondaggi di altri e ottieni partecipanti gratis in cambio forse può essere utile anche a te comunque in bocca al lupo per lo studio,3,0.8874099959373701,0.00183829420508273,0.1089132735269197,0.8874099959373701,0.0018384363306275012
"Prima degli esami ho tanta ansia e sintomi come mal di pancia, forte battito cardiaco, sudorazione, attivazione generale",prima degli esami ho tanta ansia e sintomi come mal di pancia forte battito cardiaco sudorazione attivazione generale,2,0.9680831655998772,0.010639012187931594,0.9680831655998772,0.010638838876413193,0.010638983335777978
Prima di un esame o di un'esposizione,prima di un esame o di unesposizione,3,0.9318095844019261,0.02272971386007318,0.022732732739089392,0.9318095844019261,0.0227279689989113
Esami orali o presentazioni,esami orali o presentazioni,4,0.9318137304247766,0.022729844802337702,0.02272915204561259,0.02272727272727317,0.9318137304247766
Parlare di fronte a un pubblico,parlare di fronte a un pubblico,2,0.9318128468836276,0.022728665682609145,0.9318128468836276,0.022730381357387672,0.02272810607637537
Spiegare una cosa che non ho compreso a pieno,spiegare una cosa che non ho compreso a pieno,1,0.9444433568483551,0.9444433568483551,0.018518685341780958,0.018519439291344673,0.01851851851851922
Parlare in pubblico,parlare in pubblico,2,0.9117593389704052,0.029414342825707655,0.9117593389704052,0.029411764705882824,0.029414553498004255
Situazioni in cui espongo in pubblico,situazioni in cui espongo in pubblico,2,0.5540488157597822,0.4189189189189023,0.5540488157597822,0.013517875992392098,0.01351438932892341
quando mi chiedono di portare a termine qualcosa con una scadenza vicina,quando mi chiedono di portare a termine qualcosa con una scadenza vicina,4,0.9318169425455685,0.022728173584587112,0.022727611142570037,0.02272727272727441,0.9318169425455685
Quando devo restituire un compito assegnato,quando devo restituire un compito assegnato,4,0.9117564259928165,0.02941176470588505,0.029414443984971103,0.02941736531632731,0.9117564259928165
Durante un esame universitario orale,durante un esame universitario orale,4,0.9531145875616365,0.0156311118187416,0.015626568082461472,0.015627732537160485,0.9531145875616365
"Quando inizi un nuovo posto di lavoro, non sai quasi nulla del contesto, ma i tuoi colleghi si aspettano che tu faccia 90/95% del lavoro che ti viene assegnato in modo corretto, senza errori.",quando inizi un nuovo posto di lavoro non sai quasi nulla del contesto ma i tuoi colleghi si aspettano che tu faccia 9095 del lavoro che ti viene assegnato in modo corretto senza errori,2,0.9859801058430862,0.004673322751990956,0.9859801058430862,0.004673467760559978,0.004673103644363102
